Fairmont LS,vs,Taipei American HT,Ivy Street RR 2026,R1,https://youtu.be/Q91fYDiPCt8,China Extraction
Nueva AG,vs,Richard Montgomery WY,Ivy Street RR 2026,R1,https://youtu.be/98iVNDVVOfE,China Extraction
,,,,,,
Ridge SL,vs,Acton-Boxborough ES,Lexington 2026,Quarters,https://youtu.be/rwKmgqL9PX8,China Extraction
,,,,,,
Emerald-Arlington GC,vs,Harker-Saratoga LL,Outreach 2026,Demo,https://youtu.be/cVLH1j_7cqQ,China Extraction
Harker-Lexington ML,vs,Awty-Potomac XM,Outreach 2026,Demo,https://youtu.be/XCw0bZ_H6_Y,China Extraction
,,,,,,
Straker ML,vs,Straker MC,CSB 2025,Demo,https://youtu.be/XL-1yRygXIY,China Extraction
,,,,,,
Harker LL,vs,Avenues BC,Blake 2025,Quarters,https://youtu.be/uG7DriZssnY,China Extraction
Strake SM,vs,Harker BC,Blake 2025,Octos,https://youtu.be/lnelVeHq394,China Extraction
Potomac MS,vs,Eden Prairie DV,Blake 2025,Doubles,https://youtu.be/05RQv5XRU2o,China Extraction
Harker LL,vs,Strake MS,Blake 2025,R2,https://youtu.be/Qt8BMwbp3RA,China Extraction
,,,,,,
Seven Lakes CL,vs,Strake HJ,UT 2025,Finals,https://youtu.be/UbFSTgqAW38,Encryption
,,,,,,
Seven Lakes CL,vs,Strake CM,Glenbrooks 2025,R5,https://youtu.be/P_yOgV13n1c,Encryption
,,,,,,
Mac Hays,vs,Bashir Eltyeb,AI 2025,Demo,https://youtu.be/7dDY_3Bwrj8,Encryption
Mac Hays,vs,Spencer Orlowski,AI 2025,Demo,https://youtu.be/NuM4a-1hYNE,Encryption
,,,,,,
Strake SM,vs,Theodore Roosevelt MM,Apple Valley 2025,Quarters,https://youtu.be/uDFUXX2ahzE,Encryption
,,,,,,
Nueva AG,vs,Strake HL,Bronx 2025,Semis,https://youtu.be/l-DdAbv3ARU,Brexit
Fairmont TK,vs,Emerald AG,Bronx 2025,Doubles,https://youtu.be/sZSQbBzFulk,Brexit
,,,,,,
Lincoln Sudbury AK,vs,Strath Haven DF,Yale 2025,Finals,https://youtu.be/o7lo9t_iwj0,Brexit
Lincoln Sudbury RC,vs,Blake CB,Yale 2025,Doubles,https://youtu.be/lhz53BX0pJw,Brexit
,,,,,,
Strake MS,vs,Bellaire AC,Grapevine 2025,Doubles,https://youtu.be/_8-mJ4exwwk,Brexit
,,,,,,
AI HR,vs,AI OD,AI 2025,Demo,https://youtu.be/8NCVv32sscw,Brexit
,,,,,,
Harker LL,vs,Nueva AG,UK 2025,Finals,https://youtu.be/8X2twx1Szl4,Brexit
Strake HL,vs,Nueva AG,UK 2025,Semis,https://youtu.be/_WD7nPUiTP4,Brexit
,,,,,,
DebateDrills EJ,vs,DebateDrills RS,DebateDrills 2025,Demo,https://youtu.be/JUkR0iahsIo,Brexit
,,,,,,
Theta AP PG,vs,Epsilon RNS SC,NSD 2025,Semis,https://youtu.be/3pH-uQ4O6-0,French Nuclear Umbrella
East Ridge MV,vs,BASIS Phoenix GP,NSD 2025,Quarters,https://youtu.be/4uUgAq4VcgA,French Nuclear Umbrella
,,,,,,
Monta Vista TG,vs,Archbishop Mitty AD,NSDA 2025,Finals,https://youtu.be/L1Jx28Elszw,Executive Orders
Dougherty Valley BW,vs,Archbishop Mitty AD,NSDA 2025,R15,https://youtu.be/pjTQNs86KqA,Executive Orders
Lincoln East AG,vs,Monta Vista GT,NSDA 2025,R14,https://youtu.be/UbJvdPwfv7s,Executive Orders
Northridge TL,vs,Archbishop Mitty AD,NSDA 2025,R13,https://youtu.be/bz0M8cyQco4,Executive Orders
Dougherty Valley BW,vs,Saratoga JG,NSDA 2025,R11,https://youtu.be/f-ten5iIpyE,Executive Orders
Northridge TL,vs,Jasper ZZ,NSDA 2025,R10,https://youtu.be/WOxFBTYQiFA,Executive Orders
BASIS Peoria GV,vs,Leland LR,NSDA 2025,R10,https://youtu.be/_dq6XSDFap4,Executive Orders
Lincoln East AG,vs,SF Jefferson WH,NSDA 2025,R10,https://youtu.be/YLOkvb_TyTU,Executive Orders
BASIS Peoria GV,vs,SF Jefferson WH,NSDA 2025,R9,https://youtu.be/4KH1zPRUr58,Executive Orders
Charlotte Latin CR,vs,SF Jefferson WH,NSDA 2025,R8,https://youtu.be/OePvQ181LxE,Executive Orders
SF Jefferson WH,vs,Carrollton QS,NSDA 2025,R7,https://youtu.be/J1D6b9pCJXA,Executive Orders
,,,,,,
Marist ST,vs,MagnetIQ MS,MSTOC 2025,Finals,https://youtu.be/P310JoJ-bv4,Nuclear Energy
,,,,,,
Plano West KL,vs,Strake GZ,GTOC 2025,Finals,https://youtu.be/nR8JGMeIOKE,Nuclear Energy
Plano West KL,vs,East Ridge MV,GTOC 2025,Semis,https://youtu.be/Ubfs3gY6x-Q,Nuclear Energy
Strake GZ,vs,Iowa City West AE,GTOC 2025,Semis,https://youtu.be/hKJzbdgSPYQ,Nuclear Energy
Plano West KL,vs,Nueva AH,GTOC 2025,Quarters,https://youtu.be/75VZDN1Hp64,Nuclear Energy
Plano West KL,vs,Winston Churchill IM,GTOC 2025,Octos,https://youtu.be/QZTWPrJO9HY,Nuclear Energy
Lexington MS,vs,Iowa City West AE,GTOC 2025,Doubles,https://youtu.be/4su_8U90mpg,Nuclear Energy
JR Masterman WE,vs,Fairmont SS,GTOC 2025,Doubles,https://youtu.be/YgWRowupoWw,Nuclear Energy
Harker LL,vs,Nueva AH,GTOC 2025,Runoffs,https://youtu.be/zi8y1sl2gBk,Nuclear Energy
Southlake Carroll BS,vs,Palm Harbor ML,GTOC 2025,R6,https://youtu.be/D0YOKoSC3Go,Nuclear Energy
Lincoln-Sudbury KH,vs,Bellaire CL,GTOC 2025,R4,https://youtu.be/S23Jqsc-zhY,Nuclear Energy
Strake SM,vs,Blake BL,GTOC 2025,R3,https://youtu.be/KZxp5rUxp_A,Nuclear Energy
William Fremd IB,vs,Harker LL,GTOC 2025,R2,https://youtu.be/2HuVXat-uuw,Nuclear Energy
Palm Harbor ML,vs,Fairmont SS,GTOC 2025,R1,https://www.youtube.com/watch?v=wncq8nBxtcc,Nuclear Energy
,,,,,,
Seven Lakes EM,vs,Nueva AG,King RR 2025,R4,https://youtu.be/M9YBdzQ3gKY,Nuclear Energy
Seven Lakes EM,vs,Blake CK,King RR 2025,R3,https://youtu.be/chTCi8b4qn0,Nuclear Energy
,,,,,,
Potarker ML,vs,Strake SM,CSB 2025,Demo,https://youtu.be/RlZQ9bDlOdY,Nuclear Energy
,,,,,,
Awty International ZZ,vs,Kinkaid YZ,TFA State 2025,Quarters,https://youtu.be/H7LtGzVXmig,AI in Education
Seven Lakes LL,vs,Bellaire CL,TFA State 2025,R5,https://youtu.be/HtFbfOet3s4,AI in Education
Winston Churchill IM,vs,Bellaire CL,TFA State 2025,R3,https://youtu.be/d_a3eO48v4o,AI in Education
,,,,,,
Lincoln Sudbury KH,vs,Plano West AB,Harvard 2025,Finals,https://youtu.be/CcNoio-Ibx4,ICC
Plano West AB,vs,Strake GZ,Harvard 2025,Semis,https://youtu.be/LSbeWj6jKVc,ICC
Lincoln Sudbury KH,vs,Millburn CW,Harvard 2025,Quarters,https://youtu.be/7Z4ePXmOT34,ICC
Strake MC,vs,Thomas Wootton TT,Harvard 2025,Octos,https://youtu.be/78UQKVMR1Lw,ICC
Summit AZ,vs,Cary JR,Harvard 2025,Doubles,https://youtu.be/a9X22I-30G4,ICC
East Ridge MV,vs,Thomas Wootton TT,Harvard 2025,Triples,https://youtu.be/bgIRgEmhlfg,ICC
Summit AZ,vs,Scarsdale LZ,Harvard 2025,Triples,https://youtu.be/7ZFz3Aqxb9k,ICC
,,,,,,
Monta Vista GT,vs,Fairmont SS,Berkeley 2025,Semis,https://youtu.be/hV7DqxagV0I,ICC
Dougherty Valley BW,vs,Emerald AG,Berkeley 2025,R6,https://youtu.be/ltAbnOBKSjE,ICC
,,,,,,
Strarker ML,vs,Canyomac MW,CSB 2025,Demo,https://youtu.be/7JpM7_PAEEo,ICC
,,,,,,
